unique.id,genus,species,sex
M2007SR3Sporandio_002,Megachile,onobrychidis,m
M2008SR3BC2_056,Megachile,onobrychidis,m
M2008SR3Sporandio_150,Megachile,onobrychidis,m
Morandin2009_1525,Megachile,onobrychidis,m
M2009SR3Gregory_132,Megachile,onobrychidis,m
M2009SR2Chamberlain_108,Megachile,onobrychidis,m
M2009SR2Muller_51,Megachile,onobrychidis,m
M2007SR3Gregory_024,Megachile,onobrychidis,m
M2007SR2BC2_056,Megachile,onobrychidis,m
M2007SR3BC1_030,Megachile,onobrychidis,m
M2007SR3Muller_043,Megachile,onobrychidis,m
M2008SR2MC1_032,Megachile,onobrychidis,m
M2008SR2Muller_032,Megachile,onobrychidis,m
M2009SR2Butler_71,Megachile,onobrychidis,m
M2009SR1BC2_52,Megachile,onobrychidis,m
Morandin2011_13245,Megachile,onobrychidis,m
M2007SR2Muller_048,Megachile,onobrychidis,f
M2007SR2MC1_006,Megachile,onobrychidis,f
M2007SR1Muller_081,Megachile,onobrychidis,f
M2007SR2BC2_055,Megachile,onobrychidis,f
M2007SR2Sporandio_016,Megachile,onobrychidis,f
M2007SR3Butler_076,Megachile,onobrychidis,f
M2007SR3Muller_038,Megachile,onobrychidis,f
M2007SR3Muller_041,Megachile,onobrychidis,f
M2007SR3Muller_042,Megachile,onobrychidis,f
M2007SR3Muller_046,Megachile,onobrychidis,f
M2007SR3Muller_045,Megachile,onobrychidis,f
M2007SR3Muller_051,Megachile,onobrychidis,f
M2007SR3Muller_052,Megachile,onobrychidis,f
M2007SR3MC1_002,Megachile,onobrychidis,f
M2007SR3Muller_056,Megachile,onobrychidis,f
M2007SR3Sporandio_037,Megachile,onobrychidis,f
M2007SR2MC1_007,Megachile,onobrychidis,f
M2007SR3Muller_044,Megachile,onobrychidis,f
M2007SR3Gregory_069,Megachile,onobrychidis,f
M2008SR2Butler_033,Megachile,onobrychidis,f
TS06Gnoss157,Megachile,onobrychidis,f
TS06Muller117,Megachile,onobrychidis,f
TS06Muller115,Megachile,onobrychidis,f
Morandin2009_4504,Megachile,onobrychidis,f
Morandin2009_1067,Megachile,onobrychidis,f
M2009SR2Barger_113,Megachile,onobrychidis,f
M2009SR3Butler_42,Megachile,onobrychidis,f
M2008SR3Muller_004,Megachile,onobrychidis,f
M2008SR3Muller_007,Megachile,onobrychidis,f
M2008SR3Muller_008,Megachile,onobrychidis,f
M2008SR3Muller_009,Megachile,onobrychidis,f
M2008SR3Muller_010,Megachile,onobrychidis,f
M2008SR3Muller_011,Megachile,onobrychidis,f
M2008SR3Muller_012,Megachile,onobrychidis,f
M2008SR3Muller_016,Megachile,onobrychidis,f
M2008SR3Muller_025,Megachile,onobrychidis,f
M2008SR3Muller_027,Megachile,onobrychidis,f
M2007SR3MC1_003,Megachile,onobrychidis,f
M2008SR3BC2_001,Megachile,onobrychidis,f
M2008SR3Chamberlain_077,Megachile,onobrychidis,f
TS06GC1264,Megachile,onobrychidis,f
M2011SR3Muller_15696,Megachile,onobrychidis,f
M2007SR3BC2_037,Megachile,brevis,f
M2007SR1Muller_013,Megachile,brevis,f
M2007SR3Chamberlain_011,Megachile,brevis,f
TS06Turk201,Megachile,brevis,f
M2008SR2Muller_012,Megachile,brevis,f
Morandin2009_7400,Megachile,brevis,f
Morandin2009_6939,Megachile,brevis,f
M2008SR3H16_005,Megachile,brevis,f
M2011SR3Muller_15181,Megachile,brevis,f
M2008SR2DQU_071,Megachile,brevis,m
M2008SR3Muller_026,Megachile,gentilis,f
M2007SR3MC1_027,Megachile,gentilis,f
M2007SR2USS_028,Megachile,gentilis,f
M2007SR2BC1_011,Megachile,gentilis,f
M2007SR3Muller_039,Megachile,gentilis,f
M2009SR2Chamberlain_86,Megachile,texana,f
M2007SR3BC2_036,Megachile,,f
